domain_id,domain_name,control_id,title,description,objective,control_type,frequency,fedramp_delta,mapping_soc2,mapping_iso27001,mapping_iso27017,mapping_iso27018,mapping_nist_csf,mapping_nist_800_53,mapping_fedramp,mapping_pci_dss,mapping_hipaa,mapping_gdpr,mapping_ccpa
OPS,Operations Security,CCF-OPS-02,Vulnerability Management,"The organization maintains a vulnerability management program including regular scanning (infrastructure, application, container), prioritization, and remediation within defined SLAs. For FedRAMP: monthly authenticated OS/infrastructure scanning, monthly web application scanning, annual penetration testing.",Identify and remediate vulnerabilities before exploitation.,Operational,Monthly scanning (FedRAMP); remediation per SLA,True,CC7.1; CC3.2,A.8.8,12.6.1,,ID.RA-01; PR.IR-01,RA-5; RA-5(2); RA-5(5); SI-2; SI-2(2),RA-5; RA-5(2); RA-5(5); SI-2; SI-2(2); FedRAMP Vuln Scan Requirements,6.3.1; 11.3.1; 11.3.2,§164.308(a)(1)(ii)(A),Art. 32(1),
OPS,Operations Security,CCF-OPS-03,Patch Management,"The organization implements patch management ensuring timely application of security patches. For FedRAMP High: critical patches within 30 days, high within 60 days, moderate within 90 days. Emergency patches follow expedited procedures.",Remediate known vulnerabilities through timely patching.,Operational,Continuous; patching per SLA,True,CC7.1,A.8.8; A.8.19,12.6.1,,PR.IR-01,SI-2; SI-2(2); SI-2(3),SI-2; SI-2(2); SI-2(3); FedRAMP Patch Timelines,6.3.3,§164.308(a)(1)(ii)(A),Art. 32(1),
OPS,Operations Security,CCF-OPS-04,Malware Protection,"The organization deploys endpoint protection (EPP/EDR) across all endpoints and servers with automatic updates, real-time monitoring, and centralized management.",Detect and prevent malware infections.,Technical,Continuous; real-time,False,CC6.8; CC7.1,A.8.7,12.2.1,,DE.CM-01,SI-3; SI-3(1); SI-3(2),SI-3; SI-3(1); SI-3(2),5.2; 5.3,§164.308(a)(5)(ii)(B),Art. 32(1),
OPS,Operations Security,CCF-OPS-05,Backup Management,"The organization performs regular backups of critical data and configurations. Backups are encrypted, tested for recoverability, and stored in geographically separated locations.",Ensure data and system recoverability.,Operational,Daily backups (or per RPO); quarterly restore testing,False,A1.2; CC7.5,A.8.13,12.3.1,A.9.4.2,PR.DS-04,CP-9; CP-9(1); CP-9(3); CP-10,CP-9; CP-9(1); CP-9(3); CP-10,9.4.1.1,§164.308(a)(7)(ii)(A),Art. 32(1)(c),
OPS,Operations Security,CCF-OPS-06,Capacity and Performance Management,The organization monitors system capacity and performance to ensure adequate resources. Capacity thresholds trigger automated scaling or alerting.,Ensure availability through proactive capacity management.,Operational,Continuous monitoring; quarterly capacity planning,False,A1.1; A1.2,A.8.6,12.1.3,,PR.IR-04,CP-2; SC-5,CP-2; SC-5,,§164.308(a)(7)(ii)(B),Art. 32(1)(b),
OPS,Operations Security,CCF-OPS-07,Clock Synchronization,"The organization synchronizes system clocks to authoritative time sources (e.g., NTP from NIST or USNO). Time synchronization accuracy supports audit log correlation and forensic investigation.",Ensure accurate timestamps across all systems.,Technical,Continuous; quarterly verification,False,CC7.2,A.8.17,,,DE.AE-05,AU-8; AU-8(1),AU-8; AU-8(1),10.6,§164.312(b),,
OPS,Operations Security,CCF-OPS-08,Software Installation Restrictions,The organization enforces restrictions on software installation. Only authorized software may be installed on organizational systems. Unauthorized software is detected and removed. Application whitelisting is implemented on high-security systems.,Prevent execution of unauthorized or malicious software.,Technical,Continuous enforcement; monthly software inventory review,True,CC6.8,A.8.19,,,PR.IR-01,CM-11; CM-7(4); CM-7(5),CM-11; CM-7(4); CM-7(5),,,,
NET,Network Security,CCF-NET-01,Network Architecture and Segmentation,"The organization designs and maintains network architecture segmenting systems by trust level, data sensitivity, and function. Production, staging, development, and corporate environments are segmented.",Limit blast radius and enforce data isolation.,Technical,Continuous; annual architecture review,False,CC6.1; CC6.6,A.8.22,13.1.3,,PR.IR-01,SC-7; SC-7(5); SC-7(18); AC-4,SC-7; SC-7(5); SC-7(18); AC-4,1.2.1; 1.3.1; 1.3.2,§164.312(e)(1),Art. 32(1),
NET,Network Security,CCF-NET-02,Firewall and Security Group Management,"The organization implements firewalls, security groups, and network ACLs with deny-by-default rules. Rules are documented with business justification and reviewed semi-annually.",Control network traffic flow.,Technical,Continuous; semi-annual rule review,False,CC6.1; CC6.6,A.8.20; A.8.21,13.1.1,,PR.IR-01,SC-7(5); SC-7(8),SC-7(5); SC-7(8),1.2.1; 1.2.5; 1.2.6,§164.312(e)(1),Art. 32(1),
NET,Network Security,CCF-NET-03,Intrusion Detection and Prevention,"The organization deploys IDS/IPS at critical boundaries. Detection signatures are updated regularly. Alerts are monitored, triaged, and investigated.",Detect and block malicious network activity.,Technical,Continuous; daily signature updates,False,CC7.2; CC7.3,A.8.16,,,DE.CM-01,SI-4; SI-4(2); SI-4(4); SI-4(5),SI-4; SI-4(2); SI-4(4); SI-4(5),11.5; 11.5.1,§164.312(b),Art. 32(1),
NET,Network Security,CCF-NET-04,Web Application Firewall,The organization deploys WAF in front of all public-facing web applications. WAF is tuned for OWASP Top 10 protection.,Protect web applications from common attacks.,Technical,Continuous; quarterly rule review,False,CC6.6,A.8.20,,,PR.IR-01; DE.CM-06,SC-7; SI-4,SC-7; SI-4,6.4.1; 6.4.2,,Art. 32(1),
NET,Network Security,CCF-NET-05,DDoS Protection,"The organization implements DDoS protection for public-facing services including volumetric, protocol, and application-layer mitigation.",Maintain availability against DoS attacks.,Technical,Continuous; annual DDoS simulation,False,A1.2; CC6.6,A.8.20,13.1.3,,PR.IR-04,SC-5; SC-5(2),SC-5; SC-5(2),11.5,§164.308(a)(7)(i),Art. 32(1)(b),
NET,Network Security,CCF-NET-06,DNS Security,"The organization implements DNS security including DNSSEC, DNS filtering, and monitoring for DNS-based attacks.",Protect DNS infrastructure.,Technical,Continuous; annual review,False,CC6.6,A.8.20,,,PR.IR-01,SC-20; SC-21; SC-22,SC-20; SC-21; SC-22,,,,
NET,Network Security,CCF-NET-07,Boundary Protection and Authorization Boundary,"The organization defines and documents the authorization boundary of the information system. Boundary protections monitor and control communications at managed interfaces, particularly at external boundaries and key internal boundaries. Connections to external systems require explicit authorization and documentation of security requirements.","Define, protect, and monitor the system boundary to prevent unauthorized data flows.",Technical,Continuous enforcement; annual boundary review; documented in SSP,True,CC6.6,A.8.20; A.8.22,,,PR.IR-01,SC-7; SC-7(3); SC-7(4); SC-7(7); SC-7(8); CA-3; CA-3(6),SC-7; SC-7(3); SC-7(4); SC-7(7); SC-7(8); CA-3; CA-3(6); FedRAMP Auth Boundary,1.2.1,§164.312(e)(1),,
SDL,Secure Development Lifecycle,CCF-SDL-01,Secure Development Policy,The organization establishes a secure development policy mandating security activities throughout the SDLC.,Ensure security is a first-class requirement.,Administrative,Annual review,False,CC8.1,A.8.25; A.8.26,14.1.1,,PR.IR-01,SA-3; SA-15,SA-3; SA-15,6.2; 6.2.1,§164.312(a)(1),Art. 25,
SDL,Secure Development Lifecycle,CCF-SDL-02,Security Requirements in Design,The organization incorporates security and privacy requirements into the design phase. Threat modeling or security design reviews are conducted for new features and significant changes.,Identify security risks early in design.,Operational,Per feature/project,False,CC8.1,A.8.25,14.1.1,,PR.IR-01,SA-8; SA-11,SA-8; SA-11,6.2.1,,Art. 25(1),
SDL,Secure Development Lifecycle,CCF-SDL-03,Code Review,The organization requires peer code review for all production code changes prior to merge and deployment.,Catch defects and security issues before production.,Operational,Per code change,False,CC8.1,A.8.25,,,PR.IR-01,SA-11,SA-11,6.2.3.1,,,
SDL,Secure Development Lifecycle,CCF-SDL-04,Static and Dynamic Application Security Testing,The organization integrates SAST and DAST into the CI/CD pipeline. Findings are triaged and remediated per SLAs.,Identify application vulnerabilities through automated testing.,Technical,SAST every build; DAST per release or monthly,False,CC7.1; CC8.1,A.8.25; A.8.29,,,PR.IR-01; DE.CM-06,SA-11; SA-11(1),SA-11; SA-11(1),6.2.4; 11.3.1,§164.308(a)(1)(ii)(A),Art. 32(1),
SDL,Secure Development Lifecycle,CCF-SDL-05,Penetration Testing,The organization conducts penetration testing at least annually. For FedRAMP: annual third-party penetration testing covering the full authorization boundary per FedRAMP penetration test guidance.,Validate controls through adversarial testing.,Operational,Annual (minimum); per FedRAMP pen test guidance,True,CC4.1; CC7.1,A.8.8,,,ID.RA-01,CA-8; CA-8(1),CA-8; CA-8(1); FedRAMP Pen Test Guidance,11.4; 11.4.1,§164.308(a)(8),Art. 32(1)(d),
SDL,Secure Development Lifecycle,CCF-SDL-06,Software Dependency and Supply Chain Security,"The organization maintains controls over third-party dependencies including SCA, SBOM generation, and license compliance. Vulnerable dependencies are remediated per SLAs.",Manage risks from third-party components.,Technical,Continuous; quarterly dependency review,False,CC7.1; CC9.2,A.8.28,,,ID.RA-01,SA-12; SR-3; SR-4,SA-12; SR-3; SR-4,6.3.2,,,
SDL,Secure Development Lifecycle,CCF-SDL-07,Environment Separation,"The organization maintains separate development, testing, and production environments. Production data is not used in non-production without anonymization.",Prevent unauthorized changes and data exposure through environment isolation.,Technical,Continuous enforcement,False,CC6.1; CC8.1,A.8.25; A.8.31,12.1.4,A.11.6,PR.DS-01,CM-4; SA-11,CM-4; SA-11,6.5.1; 6.5.2; 6.5.3,§164.312(a)(1),Art. 32(1),
SDL,Secure Development Lifecycle,CCF-SDL-08,Developer Security Training,"The organization provides annual security training to developers covering secure coding practices, OWASP Top 10, language-specific vulnerabilities, and the organization's secure development standards. Training completion is tracked.",Ensure developers have current knowledge of secure coding practices.,Administrative,Annual; upon onboarding of new developers,True,CC1.4,A.6.3,,,PR.AT-02,AT-3; SA-16,AT-3; SA-16,6.2.2,,,
CHM,Change Management,CCF-CHM-01,Change Management Policy and Process,"The organization establishes change management covering standard, normal, and emergency changes with appropriate governance.","Ensure changes are controlled, authorized, and traceable.",Administrative,Annual policy review; per-change execution,False,CC8.1,A.8.32,12.1.2,,PR.IP-03,CM-1; CM-3; CM-3(2),CM-1; CM-3; CM-3(2),6.5.1,§164.312(a)(1),,
CHM,Change Management,CCF-CHM-02,Change Authorization and Approval,All production changes require documented approval. Developers cannot self-approve (segregation of duties).,Prevent unauthorized production changes.,Operational,Per change,False,CC8.1,A.8.32,,,PR.IP-03,CM-3(1); CM-5,CM-3(1); CM-5,6.5.1; 6.5.2,§164.312(a)(1),,
CHM,Change Management,CCF-CHM-03,Change Testing and Validation,"Changes are tested in non-production prior to deployment including functional, regression, and security testing.",Prevent defects in production.,Operational,Per change,False,CC8.1,A.8.29; A.8.32,,,PR.IP-03,CM-4; CM-4(1); SA-11,CM-4; CM-4(1); SA-11,6.2.3; 6.5.3,,,
CHM,Change Management,CCF-CHM-04,Emergency Change Process,"Emergency changes require post-implementation review, retroactive approval, and documentation within defined timeframes.",Enable rapid response while maintaining accountability.,Operational,Per occurrence; retroactive review within 48 hours,False,CC8.1,A.8.32,,,PR.IP-03,CM-3(1),CM-3(1),6.5.1,,,
CHM,Change Management,CCF-CHM-05,Configuration Management,The organization maintains and enforces approved configuration baselines. Configuration is managed as code where possible. Deviations are detected and remediated.,Maintain known-good configurations and detect drift.,Technical,Continuous; quarterly baseline review,False,CC7.1; CC8.1,A.8.9,12.1.1,,PR.IP-01,CM-2; CM-2(1); CM-2(3); CM-2(7); CM-3; CM-6,CM-2; CM-2(1); CM-2(3); CM-2(7); CM-3; CM-6,2.2,,,
CHM,Change Management,CCF-CHM-06,Release Management,"The organization governs release packaging, scheduling, and deployment including rollback plans and post-deployment monitoring.",Ensure reliable and controlled deployment.,Operational,Per release,False,CC8.1,A.8.32,14.2.2,,PR.IP-03,CM-3; SA-10,CM-3; SA-10,6.5.1; 6.5.4,,,
LOG,Logging and Monitoring,CCF-LOG-01,Audit Logging Standards,"The organization defines and enforces audit logging standards specifying events, data fields (who, what, when, where, outcome), and scope. For FedRAMP High, all AU-2 events are logged and audit records include AU-3 content requirements.",Capture security-relevant events consistently.,Technical,Continuous; annual logging review,False,CC7.2,A.8.15,12.4.1,A.12.4.1,DE.AE-03,AU-1; AU-2; AU-3; AU-3(1),AU-1; AU-2; AU-3; AU-3(1),10.2; 10.2.1,§164.312(b),Art. 30,
LOG,Logging and Monitoring,CCF-LOG-02,Centralized Log Collection and Aggregation,"Logs from all in-scope systems are collected into a centralized SIEM. For FedRAMP, log collection covers the entire authorization boundary.",Enable correlated analysis and investigation.,Technical,Continuous; monthly coverage review,False,CC7.2; CC7.3,A.8.15,12.4.1,,DE.AE-03,AU-6; AU-6(1); AU-6(3); SI-4,AU-6; AU-6(1); AU-6(3),10.3; 10.3.3,§164.312(b),,
LOG,Logging and Monitoring,CCF-LOG-03,Log Retention,"Audit logs are retained for a minimum of one year with 90 days online. For FedRAMP High, logs must be available for immediate retrieval for 90 days and retained for at least one year.",Ensure logs are available for investigation and audit.,Technical,Continuous; annual retention review,True,CC7.2,A.8.15,12.4.1,A.12.4.1,DE.AE-03,AU-11,"AU-11; FedRAMP: 1yr retention, 90d online",10.5.1,§164.312(b),Art. 5(1)(e),
LOG,Logging and Monitoring,CCF-LOG-04,Security Monitoring and Alerting,"The organization implements 24/7 security monitoring with detection rules, alerting, and investigation SLAs. Monitoring covers IoCs, anomalous behavior, and high-risk events.",Detect incidents timely through active monitoring.,Technical,Continuous (24/7); monthly rule review,False,CC7.2; CC7.3,A.8.16,12.4.1,,DE.CM-01; DE.CM-06; DE.AE-02,SI-4; SI-4(2); IR-4,SI-4; SI-4(2),10.4.1; 10.7,§164.308(a)(1)(ii)(D),Art. 32(1),
LOG,Logging and Monitoring,CCF-LOG-05,Log Integrity Protection,"Logs are protected from unauthorized modification or deletion using write-once storage, separate accounts, and access restrictions.",Ensure trustworthy log data.,Technical,Continuous; annual review,False,CC7.2,A.8.15,12.4.2,,DE.AE-03,AU-9; AU-9(2); AU-9(4); AU-10,AU-9; AU-9(2); AU-9(4); AU-10,10.3.2,§164.312(b),,
LOG,Logging and Monitoring,CCF-LOG-06,Audit Record Generation and Content,"The information system generates audit records containing sufficient information to establish what type of event occurred, when it occurred, where it occurred, the source of the event, the outcome, and the identity of individuals or subjects associated with the event. Audit generation is configurable per FedRAMP AU-2 event list.",Ensure audit records contain sufficient detail for investigation and accountability.,Technical,Continuous; audit event list reviewed annually,True,CC7.2,A.8.15,,,DE.AE-03,AU-2; AU-3; AU-12; AU-12(1); AU-12(3),AU-2; AU-3; AU-12; AU-12(1); AU-12(3),10.2,§164.312(b),,
INC,Incident Management,CCF-INC-01,Incident Response Plan,"The organization maintains a documented IR plan covering classification, roles, communication, escalation, containment, and post-incident review. Tested at least annually.",Structured and effective incident response.,Administrative,Annual review and testing,False,CC7.3; CC7.4; CC7.5,A.5.24; A.5.25; A.5.26,16.1.1,A.16.1.1,RS.MA-01; RS.MA-02,IR-1; IR-8; IR-8(1),IR-1; IR-8; IR-8(1),12.10.1; 12.10.2,§164.308(a)(6)(i),Art. 33; Art. 34,
INC,Incident Management,CCF-INC-02,Incident Detection and Reporting,The organization implements automated and manual mechanisms for detecting and reporting incidents. All personnel are trained to report.,Timely identification and reporting of incidents.,Operational,Continuous; training annually,False,CC7.2; CC7.3,A.6.8; A.8.16,16.1.2,,DE.AE-02; DE.AE-06,IR-4; IR-6; IR-6(1),IR-4; IR-6; IR-6(1),12.10.5,§164.308(a)(6)(ii),Art. 33(1),
INC,Incident Management,CCF-INC-03,"Incident Containment, Eradication, and Recovery","Procedures for containment, root cause eradication, and system recovery including restoration and integrity verification.",Minimize impact and restore operations.,Operational,Per incident,False,CC7.4; CC7.5,A.5.26,16.1.5,,RS.MI-01; RS.MI-02; RC.RP-01,IR-4; IR-4(1); IR-5,IR-4; IR-4(1); IR-5,12.10.1,§164.308(a)(7)(i),Art. 33,
INC,Incident Management,CCF-INC-04,Incident Communication and Notification,"The organization maintains communication procedures including internal escalation, customer notification, and regulatory reporting. For FedRAMP, incidents are reported to US-CERT/CISA within 1 hour of determination for certain categories per FedRAMP Incident Communications Procedure.",Timely and appropriate communication during incidents.,Administrative,Per incident; FedRAMP: 1-hour reporting for certain categories,True,CC2.3; CC7.3; CC7.4,A.5.24; A.5.25,16.1.2,A.9.1,RS.CO-02; RS.CO-03,IR-6; IR-6(1); IR-7; IR-7(1),IR-6; IR-6(1); IR-7; IR-7(1); FedRAMP ICP: US-CERT 1hr reporting,12.10.1,§164.308(a)(6)(ii); §164.404,Art. 33; Art. 34,§1798.150(a)
INC,Incident Management,CCF-INC-05,Post-Incident Review and Lessons Learned,"Blameless postmortems for all significant incidents. Root cause analysis, lessons learned, and action items tracked.",Continuous improvement of incident response.,Operational,After each significant incident; within 5 business days,False,CC4.2; CC7.5,A.5.27,16.1.6,,RS.IM-01; RS.IM-02,IR-4(4),IR-4(4),12.10.2,§164.308(a)(6)(ii),,
INC,Incident Management,CCF-INC-06,Incident Response Training,"The organization provides incident response training to IR team members within role assignment and at least annually thereafter. Training includes tabletop exercises, tool usage, forensic procedures, and communication protocols.",Ensure IR team readiness through regular training and exercises.,Administrative,Annual; upon role assignment; after major exercises,True,CC7.3,A.5.24,,,RS.MA-01,IR-2; IR-2(1); IR-2(2),IR-2; IR-2(1); IR-2(2),12.10.1,,,
BCP,Business Continuity and Disaster Recovery,CCF-BCP-01,Business Continuity Plan,"The organization maintains a BCP identifying critical functions, dependencies, and recovery priorities. Tested annually.",Continue essential operations during disruptions.,Administrative,Annual review and testing,False,A1.2; A1.3,A.5.29; A.5.30,,,RC.RP-01; RC.RP-02,CP-1; CP-2; CP-2(1); CP-2(3); CP-2(8),CP-1; CP-2; CP-2(1); CP-2(3); CP-2(8),,§164.308(a)(7)(i),Art. 32(1)(c),
BCP,Business Continuity and Disaster Recovery,CCF-BCP-02,Disaster Recovery Plan,The organization maintains a DRP defining procedures for restoring IT systems and data. RTO and RPO are specified and validated.,Timely recovery of technology systems.,Administrative,Annual review; testing per CCF-BCP-03,False,A1.2; CC7.5,A.5.30; A.8.14,17.1.1,,RC.RP-01,CP-2; CP-10; CP-10(2),CP-2; CP-10; CP-10(2),,§164.308(a)(7)(ii)(B),Art. 32(1)(c),
BCP,Business Continuity and Disaster Recovery,CCF-BCP-03,BCP/DR Testing and Exercising,"Tests BCP/DR plans annually through tabletop, functional, or full-scale exercises. Validates recovery procedures and RTO/RPO.",Validate plan effectiveness and personnel preparedness.,Operational,Annual; semi-annual for critical systems,False,A1.3,A.5.30,17.1.2,,RC.RP-03,CP-4; CP-4(1),CP-4; CP-4(1),,§164.308(a)(7)(ii)(D),Art. 32(1)(d),
BCP,Business Continuity and Disaster Recovery,CCF-BCP-04,High Availability and Redundancy,"Critical systems designed with multi-AZ/multi-region redundancy, failover, and elimination of single points of failure.",Minimize disruptions through resilient architecture.,Technical,Continuous; annual review; semi-annual failover testing,False,A1.1; A1.2,A.8.14,17.2.1,,PR.IR-04; RC.RP-01,CP-7; CP-7(1); CP-7(2); CP-7(3); CP-8; CP-8(1); CP-8(2),CP-7; CP-7(1); CP-7(2); CP-7(3); CP-8; CP-8(1); CP-8(2),,§164.308(a)(7)(ii)(C),Art. 32(1)(b),
BCP,Business Continuity and Disaster Recovery,CCF-BCP-05,Alternate Processing and Storage Sites,The organization establishes alternate processing and storage sites that are geographically separated from the primary site. Alternate sites are equipped and configured to support recovery operations within defined RTO/RPO. Transfer agreements and network connectivity to alternate sites are established and tested.,Ensure recovery capability through geographically distributed infrastructure.,Technical,Continuous availability; annual failover testing to alternate site,True,A1.2,A.8.14,,,RC.RP-01,CP-6; CP-6(1); CP-6(2); CP-6(3); CP-7; CP-7(1),CP-6; CP-6(1); CP-6(2); CP-6(3); CP-7; CP-7(1),,,,
BCP,Business Continuity and Disaster Recovery,CCF-BCP-06,Contingency Plan Training,"The organization provides contingency plan training to designated personnel within 10 days of role assignment and annually thereafter. Training covers roles, responsibilities, plan procedures, and coordination requirements.",Ensure personnel are prepared to execute contingency plans.,Administrative,Within 10 days of role assignment; annual refresher,True,,A.5.30,,,RC.RP-03,CP-3; CP-3(1),CP-3; CP-3(1),,,,
VND,Vendor and Third-Party Management,CCF-VND-01,Vendor Risk Assessment,The organization conducts risk assessments of vendors prior to engagement and periodically. Assessment rigor is proportionate to criticality and data access.,Evaluate and manage third-party security risks.,Administrative,Pre-engagement; annual for critical vendors,False,CC9.2,A.5.19; A.5.20; A.5.21,CLD.6.3,A.15.1.1,GV.SC-03; GV.SC-06,SA-9; SA-9(2); SR-2; SR-5; SR-6,SA-9; SA-9(2); SR-2; SR-5; SR-6,12.8; 12.8.1,§164.308(b)(1),Art. 28(1),§1798.140(w)
VND,Vendor and Third-Party Management,CCF-VND-02,Vendor Security Requirements and Contracts,"Vendor contracts include security and privacy requirements, incident notification, audit rights, and data return/destruction provisions.",Establish binding vendor security obligations.,Administrative,At contract execution; renewal,False,CC9.2,A.5.19; A.5.20,CLD.6.3,A.15.1.2,GV.SC-05,SA-4; SA-9,SA-4; SA-9,12.8.2; 12.8.5,§164.308(b)(1); §164.314(a)(2),Art. 28(3),§1798.140(w)
VND,Vendor and Third-Party Management,CCF-VND-03,Vendor Monitoring and Oversight,"Ongoing monitoring of vendor compliance including certification review, incident tracking, and periodic reassessment.",Ensure vendors maintain security standards.,Operational,Annual; quarterly for tier-1,False,CC9.2; CC4.1,A.5.22,15.2.1,,GV.SC-09; GV.SC-10,SA-9(2); CA-7,SA-9(2); CA-7,12.8.4,§164.308(b)(1),Art. 28(3)(h),
VND,Vendor and Third-Party Management,CCF-VND-04,Subprocessor Management,Visibility into vendor subprocessors. Vendors notify of new subprocessors and ensure equivalent security. Subprocessor list maintained.,Extend oversight to downstream providers.,Administrative,Continuous notification; annual review,False,CC9.2,A.5.19; A.5.21,CLD.6.3,A.15.1.3,GV.SC-07,SA-9; SR-6,SA-9; SR-6,12.8.5,§164.314(a)(2)(i),Art. 28(2); Art. 28(4),§1798.140(w)
VND,Vendor and Third-Party Management,CCF-VND-05,Supply Chain Risk Management,"The organization develops and implements a supply chain risk management plan that identifies, assesses, and mitigates risks throughout the supply chain. The plan addresses acquisition processes, supplier diversity, counterfeit component detection, and supply chain threat analysis. For FedRAMP, supply chain controls align with NIST 800-161.",Manage end-to-end supply chain security risks.,Administrative,Annual plan review; continuous risk monitoring,True,CC9.2,A.5.21,,,GV.SC-01; GV.SC-02; GV.SC-04,SR-1; SR-2; SR-3; SR-5; SR-6; SR-11,SR-1; SR-2; SR-3; SR-5; SR-6; SR-11; NIST SP 800-161,,,,
PRI,Privacy,CCF-PRI-01,Privacy Policy and Notice,"Public-facing privacy notice covering data categories, purposes, sharing, rights, and contact info. Reviewed annually.",Transparent disclosure of data practices.,Administrative,Annual review,False,P1.1; P1.2,,,A.2.1,GV.PO-01,PT-3; PT-5,PT-3; PT-5,,§164.520,Art. 12; Art. 13; Art. 14,§1798.100(a); §1798.130
PRI,Privacy,CCF-PRI-02,Data Processing Inventory (RoPA),Record of processing activities maintained and available for regulatory review.,Comprehensive processing activity inventory.,Administrative,Continuous; quarterly review,False,P1.1,A.5.9,,A.2.5,ID.AM-05,PT-3; PM-25,PT-3; PM-25,,,Art. 30,§1798.100(a)
PRI,Privacy,CCF-PRI-03,Consent Management,Consent obtained and managed where applicable. Mechanisms for recording and honoring withdrawal.,Lawful consent-based processing.,Operational,Per data collection event,False,P2.1,,,A.2.1,,PT-4,PT-4,,§164.508,Art. 6(1)(a); Art. 7,§1798.120; §1798.135
PRI,Privacy,CCF-PRI-04,Data Subject Rights Management,Processes for receiving and responding to data subject rights requests within legal timeframes.,Enable individuals to exercise privacy rights.,Operational,Per request; within required timeframes,False,P4.1; P4.2,,,A.1.1; A.2.2,,IP-1; IP-2; IP-3; IP-4,IP-1; IP-2; IP-3; IP-4,,§164.524; §164.526,Art. 15; Art. 16; Art. 17; Art. 18; Art. 20; Art. 21,§1798.100; §1798.105; §1798.110
PRI,Privacy,CCF-PRI-05,Data Minimization and Purpose Limitation,Collection limited to what is necessary for specified purposes. Not repurposed without legal basis.,Reduce privacy risk through data minimization.,Administrative,At system design; annual review,False,P3.1; P3.2,,,A.2.1,,PT-2; PT-3,PT-2; PT-3,3.1,§164.502(b),Art. 5(1)(b); Art. 5(1)(c),§1798.100(c)
PRI,Privacy,CCF-PRI-06,Data Retention and Disposal,Defined retention schedules enforced. Disposal commensurate with data sensitivity.,Data not retained beyond its useful period.,Operational,Continuous; annual retention review,False,P5.1; P5.2,A.8.10,,A.9.4.2,,SI-12; MP-6,SI-12; MP-6,3.2.1,§164.530(j),Art. 5(1)(e); Art. 17,§1798.105
PRI,Privacy,CCF-PRI-07,Privacy Impact Assessments (DPIA),DPIAs conducted for high-risk processing. Results inform processing decisions.,Identify and mitigate privacy risks before processing.,Administrative,Prior to high-risk processing,False,P1.1,,,A.11.3,GV.RM-01,PT-5; RA-8,PT-5; RA-8,,,Art. 35; Art. 36,§1798.185(a)(15)
PRI,Privacy,CCF-PRI-08,Cross-Border Data Transfers,"Appropriate safeguards for international data transfers (SCCs, BCRs, etc.).",Lawful cross-border data transfer.,Administrative,Per transfer mechanism; annual review,False,P6.1,,,A.11.1,,PT-6,PT-6,,,Art. 44; Art. 45; Art. 46,
DGV,Data Governance,CCF-DGV-01,Data Integrity Controls,"Controls ensuring accuracy, completeness, and consistency of data during processing. Validation, checksums, and reconciliation.",Ensure data accuracy throughout processing.,Technical,Continuous,False,PI1.1; PI1.2,A.8.11,,,PR.DS-06,SI-7; SI-7(1); SI-10,SI-7; SI-7(1); SI-10,,§164.312(c)(1),Art. 5(1)(d),
DGV,Data Governance,CCF-DGV-02,Data Loss Prevention,"DLP controls to detect and prevent unauthorized exfiltration across email, web, cloud, endpoints, and APIs.",Prevent unauthorized data disclosure.,Technical,Continuous,False,CC6.1; CC6.7,A.8.10; A.8.11; A.8.12,,,PR.DS-01; PR.DS-02,SC-7; SI-4,SC-7; SI-4,,§164.312(e)(1),Art. 32(1),§1798.150(a)
DGV,Data Governance,CCF-DGV-03,Data Masking and Anonymization,"Masking, anonymization, or pseudonymization for sensitive data in non-production, analytics, and reporting.",Reduce sensitive data exposure.,Technical,Per data provisioning; annual review,False,C1.1,A.8.11,,A.10.1,PR.DS-01,SI-19,SI-19,3.4,§164.514,Art. 25(1),§1798.145(a)(5)
CMP,Compliance and Audit,CCF-CMP-01,Internal Audit Program,Independent internal audits on a risk-based schedule. Findings tracked to remediation.,Independent assurance of control effectiveness.,Administrative,Annual audit plan; per schedule,False,CC4.1; CC4.2,A.5.35; A.5.36,,,GV.OV-02,CA-2; CA-2(1); CA-7,CA-2; CA-2(1); CA-7,12.4.2,§164.308(a)(8),Art. 5(2),
CMP,Compliance and Audit,CCF-CMP-02,External Audit and Certification Management,"Manage external audits and certifications through structured preparation, evidence collection, and findings remediation.",Obtain independent security assurance.,Administrative,Annual per certification cycle,False,CC4.1,A.5.35,,,GV.OV-02,CA-2; CA-6,CA-2; CA-6,12.4.1,§164.308(a)(8),Art. 42,
CMP,Compliance and Audit,CCF-CMP-03,POA&M Management,"The organization maintains a Plan of Action and Milestones (POA&M) that documents known weaknesses, planned corrective actions, responsible parties, and milestones for remediation. POA&M items are reviewed and reported monthly. High-risk items are escalated to the AO. The POA&M is the authoritative tracking mechanism for all audit findings, vulnerability remediation, and control deficiencies.","Track and manage remediation of all identified weaknesses in a structured, auditable manner.",Administrative,Monthly review and update; continuous intake of new items,True,CC4.2; CC5.3,A.5.36,,,GV.OV-03,CA-5,CA-5; FedRAMP POA&M Template and Requirements,12.4.2.1,§164.308(a)(1)(ii)(B),,
