domain_id,domain_name,control_id,title,description,objective,control_type,frequency,mapping_soc2,mapping_iso27001,mapping_iso27017,mapping_iso27018,mapping_nist_csf,mapping_nist_800_53,mapping_pci_dss,mapping_hipaa,mapping_gdpr,mapping_ccpa
SDL,Secure Development Lifecycle,CCF-SDL-06,Software Dependency and Supply Chain Security,"The organization maintains controls over third-party software dependencies including software composition analysis (SCA), vulnerability scanning of open-source libraries, license compliance checking, and software bill of materials (SBOM) generation. Vulnerable dependencies are remediated per defined SLAs.",Manage security risks from third-party and open-source software components.,Technical,Continuous (integrated into CI/CD); quarterly dependency review,CC7.1; CC9.2,A.8.28,,,ID.RA-01,SA-12; SR-3; SR-4,6.3.2,,,
SDL,Secure Development Lifecycle,CCF-SDL-07,Environment Separation,"The organization maintains separate environments for development, testing/staging, and production. Production data is not used in non-production environments without anonymization/masking. Access to production is restricted to authorized personnel and deployments follow the approved change management process.",Prevent unauthorized changes and data exposure through environment isolation.,Technical,Continuous enforcement; annual environment architecture review,CC6.1; CC8.1,A.8.25; A.8.31,12.1.4,A.11.6,PR.DS-01,CM-4; SA-11,6.5.1; 6.5.2; 6.5.3; 6.5.4,§164.312(a)(1),Art. 32(1),
CHM,Change Management,CCF-CHM-01,Change Management Policy and Process,"The organization establishes a change management policy that defines the process for requesting, evaluating, approving, implementing, and reviewing changes to information systems. The process covers standard, normal, and emergency change types with appropriate governance for each.","Ensure changes are controlled, authorized, and traceable.",Administrative,Annual policy review; per-change execution,CC8.1,A.8.32,12.1.2,,PR.IP-03,CM-1; CM-3,6.5.1,§164.312(a)(1),,
CHM,Change Management,CCF-CHM-02,Change Authorization and Approval,All changes to production systems require documented approval prior to deployment. Approval authority is commensurate with the risk and scope of the change. The developer/requester cannot self-approve changes to production (segregation of duties).,Ensure no unauthorized changes are deployed to production.,Operational,Per change,CC8.1,A.8.32,,,PR.IP-03,CM-3(1),6.5.1; 6.5.2,§164.312(a)(1),,
CHM,Change Management,CCF-CHM-03,Change Testing and Validation,"Changes are tested in a non-production environment prior to production deployment. Testing includes functional validation, regression testing, and security impact assessment as appropriate. Automated testing is integrated into the CI/CD pipeline.",Prevent defects and security issues from being introduced through changes.,Operational,Per change,CC8.1,A.8.29; A.8.32,,,PR.IP-03,CM-4; SA-11,6.2.3; 6.5.3,,,
CHM,Change Management,CCF-CHM-04,Emergency Change Process,"The organization maintains an emergency change process for urgent production fixes that cannot follow the standard change process. Emergency changes require post-implementation review, retroactive approval, and documentation within a defined timeframe.",Enable rapid response to production issues while maintaining accountability.,Operational,Per occurrence; retroactive review within 48 hours,CC8.1,A.8.32,,,PR.IP-03,CM-3(1),6.5.1,,,
CHM,Change Management,CCF-CHM-05,Configuration Management,"The organization maintains and enforces approved configuration baselines for systems, applications, and infrastructure. Configuration is managed as code (IaC) where possible, version controlled, and deviations from approved baselines are detected and remediated.",Maintain known-good system configurations and detect unauthorized deviations.,Technical,Continuous (IaC/drift detection); quarterly baseline review,CC7.1; CC8.1,A.8.9,12.1.1,,PR.IP-01,CM-2; CM-3; CM-6,2.2,,,
CHM,Change Management,CCF-CHM-06,Release Management,"The organization implements a release management process that governs the packaging, scheduling, and deployment of software releases to production. Release procedures include rollback plans, deployment verification, and post-deployment monitoring.",Ensure reliable and controlled deployment of software to production.,Operational,Per release,CC8.1,A.8.32,14.2.2,,PR.IP-03,CM-3; SA-10,6.5.1; 6.5.4,,,
LOG,Logging and Monitoring,CCF-LOG-01,Audit Logging Standards,"The organization defines and enforces audit logging standards specifying what events must be logged, the minimum data fields per log entry (who, what, when, where, outcome), and which systems are in scope. Logging is enabled for authentication events, access decisions, administrative actions, data access, and configuration changes.",Ensure security-relevant events are captured consistently across all systems.,Technical,Continuous enforcement; annual logging coverage review,CC7.2,A.8.15,12.4.1,A.12.4.1,DE.AE-03,AU-2; AU-3,10.2; 10.2.1; 10.2.2,§164.312(b),Art. 30,
LOG,Logging and Monitoring,CCF-LOG-02,Centralized Log Collection and Aggregation,"The organization collects and aggregates logs from all in-scope systems into a centralized SIEM or log management platform. Log collection covers cloud infrastructure, applications, databases, identity systems, network devices, and security tools.",Enable correlated analysis and investigation by centralizing log data.,Technical,Continuous; monthly coverage review,CC7.2; CC7.3,A.8.15,12.4.1,,DE.AE-03,AU-6; SI-4,10.3; 10.3.3,§164.312(b),,
LOG,Logging and Monitoring,CCF-LOG-03,Log Retention,"The organization retains audit logs for a minimum period defined by regulatory and business requirements. Log retention periods meet or exceed requirements of applicable frameworks (typically 1 year minimum, with 90 days online). Logs are protected from unauthorized modification or deletion.","Ensure log data is available for investigation, audit, and compliance purposes.",Technical,Continuous; annual retention policy review,CC7.2,A.8.15,12.4.1,A.12.4.1,DE.AE-03,AU-11,10.5.1,§164.312(b),Art. 5(1)(e),
LOG,Logging and Monitoring,CCF-LOG-04,Security Monitoring and Alerting,"The organization implements security monitoring with defined detection rules, alerting thresholds, and escalation procedures. Monitoring covers indicators of compromise (IoCs), anomalous behavior, policy violations, and high-risk events. Alerts are triaged and investigated within defined SLAs.",Detect security incidents and threats in a timely manner through active monitoring.,Technical,Continuous (24/7 where applicable); monthly detection rule review,CC7.2; CC7.3,A.8.16,12.4.1,,DE.CM-01; DE.CM-06; DE.AE-02,SI-4; IR-4,10.4.1; 10.7,§164.308(a)(1)(ii)(D); §164.312(b),Art. 32(1),
LOG,Logging and Monitoring,CCF-LOG-05,Log Integrity Protection,"The organization protects log data from unauthorized modification, deletion, and tampering. Controls include write-once storage, separate log storage accounts, access restrictions to log management systems, and integrity verification mechanisms.",Ensure log data remains trustworthy for investigation and compliance purposes.,Technical,Continuous enforcement; annual integrity review,CC7.2,A.8.15,12.4.2,,DE.AE-03,AU-9; AU-10,10.3.2,§164.312(b); §164.312(c)(1),,
INC,Incident Management,CCF-INC-01,Incident Response Plan,"The organization maintains a documented incident response plan that defines incident classification, roles and responsibilities, communication procedures, escalation paths, containment strategies, and post-incident review processes. The plan is tested at least annually through tabletop exercises or simulations.",Ensure the organization can respond to security incidents in a structured and effective manner.,Administrative,Annual review and testing; update after significant incidents,CC7.3; CC7.4; CC7.5,A.5.24; A.5.25; A.5.26,16.1.1,A.16.1.1,RS.MA-01; RS.MA-02,IR-1; IR-8,12.10.1; 12.10.2,§164.308(a)(6)(i); §164.308(a)(6)(ii),Art. 33; Art. 34,
INC,Incident Management,CCF-INC-02,Incident Detection and Reporting,"The organization implements mechanisms for detecting and reporting security incidents including automated detection through monitoring systems, employee reporting channels, and external reporting mechanisms (e.g., responsible disclosure program). All personnel are trained to recognize and report potential security incidents.",Enable timely identification and reporting of security incidents from all sources.,Operational,Continuous; training at onboarding and annually,CC7.2; CC7.3,A.6.8; A.8.16,16.1.2,,DE.AE-02; DE.AE-06,IR-4; IR-6,12.10.5,§164.308(a)(6)(ii),Art. 33(1),
INC,Incident Management,CCF-INC-03,"Incident Containment, Eradication, and Recovery","The organization implements procedures for containing active security incidents, eradicating the root cause, and recovering affected systems. Containment strategies are predefined for common incident types. Recovery procedures include system restoration, data integrity verification, and return-to-normal-operations criteria.",Minimize the impact of security incidents and restore normal operations.,Operational,Per incident,CC7.4; CC7.5,A.5.26,16.1.5,,RS.MI-01; RS.MI-02; RC.RP-01,IR-4; IR-5,12.10.1,§164.308(a)(7)(i),Art. 33,
INC,Incident Management,CCF-INC-04,Incident Communication and Notification,"The organization maintains communication procedures for security incidents including internal escalation to leadership, notification to affected customers, and reporting to regulatory authorities as required. Communication templates and notification criteria are predefined. Breach notification complies with applicable legal timeframes (e.g., GDPR 72 hours).",Ensure timely and appropriate communication during security incidents.,Administrative,Per incident; annual template review,CC2.3; CC7.3; CC7.4,A.5.24; A.5.25,16.1.2,A.9.1,RS.CO-02; RS.CO-03,IR-6; IR-7,12.10.1,§164.308(a)(6)(ii); §164.404; §164.408,Art. 33; Art. 34,§1798.150(a)
INC,Incident Management,CCF-INC-05,Post-Incident Review and Lessons Learned,"The organization conducts post-incident reviews (blameless postmortems) for all significant security incidents. Reviews identify root causes, evaluate response effectiveness, document lessons learned, and generate action items for improvement. Findings are incorporated into the security program.",Continuously improve incident response capabilities and prevent recurrence.,Operational,After each significant incident; within 5 business days of resolution,CC4.2; CC7.5,A.5.27,16.1.6,,RS.IM-01; RS.IM-02,IR-4(4),12.10.2,§164.308(a)(6)(ii),,
BCP,Business Continuity and Disaster Recovery,CCF-BCP-01,Business Continuity Plan,"The organization maintains a business continuity plan (BCP) that identifies critical business functions, dependencies, and recovery priorities. The plan defines procedures for maintaining operations during disruptive events and is tested at least annually.",Ensure the organization can continue essential operations during disruptions.,Administrative,Annual review and testing; update upon significant change,A1.2; A1.3,A.5.29; A.5.30,,,RC.RP-01; RC.RP-02,CP-1; CP-2,,§164.308(a)(7)(i); §164.308(a)(7)(ii)(B),Art. 32(1)(c),
BCP,Business Continuity and Disaster Recovery,CCF-BCP-02,Disaster Recovery Plan,"The organization maintains a disaster recovery plan (DRP) that defines procedures for restoring IT systems, applications, and data following a disaster or major disruption. The plan specifies recovery time objectives (RTO) and recovery point objectives (RPO) for critical systems.",Enable timely recovery of technology systems and data after a disruptive event.,Administrative,Annual review; testing per CCF-BCP-03,A1.2; CC7.5,A.5.30; A.8.14,17.1.1,,RC.RP-01,CP-2; CP-10,,§164.308(a)(7)(ii)(B); §164.310(a)(2)(i),Art. 32(1)(c),
BCP,Business Continuity and Disaster Recovery,CCF-BCP-03,BCP/DR Testing and Exercising,"The organization tests business continuity and disaster recovery plans at least annually through tabletop exercises, functional tests, or full-scale simulations. Tests validate recovery procedures, RTO/RPO achievement, communication protocols, and personnel preparedness. Test results are documented and findings drive plan improvements.",Validate that BCP/DR plans are effective and personnel are prepared to execute them.,Operational,Annual (minimum); semi-annual for critical systems,A1.3,A.5.30,17.1.2,,RC.RP-03,CP-4,,§164.308(a)(7)(ii)(D),Art. 32(1)(d),
BCP,Business Continuity and Disaster Recovery,CCF-BCP-04,High Availability and Redundancy,"The organization designs critical systems with redundancy and high availability capabilities including multi-region/multi-AZ deployment, load balancing, automatic failover, and elimination of single points of failure. Availability architecture is documented and validated through testing.",Minimize service disruptions through resilient system architecture.,Technical,Continuous; annual architecture review; semi-annual failover testing,A1.1; A1.2,A.8.14,17.2.1,,PR.IR-04; RC.RP-01,CP-7; CP-8; SC-36,,§164.308(a)(7)(ii)(C),Art. 32(1)(b),
VND,Vendor and Third-Party Management,CCF-VND-01,Vendor Risk Assessment,"The organization conducts risk assessments of third-party vendors prior to engagement and periodically thereafter. Assessments evaluate the vendor's security posture, certifications, data handling practices, and business continuity capabilities. Assessment rigor is proportionate to the criticality and data access of the vendor relationship.",Evaluate and manage security risks introduced through third-party relationships.,Administrative,Pre-engagement; annual reassessment for critical vendors,CC9.2,A.5.19; A.5.20; A.5.21,CLD.6.3,A.15.1.1,GV.SC-03; GV.SC-06,SA-9; SR-2; SR-5; SR-6,12.8; 12.8.1; 12.8.2,§164.308(b)(1); §164.314(a)(1),Art. 28(1); Art. 28(2),§1798.140(w)
VND,Vendor and Third-Party Management,CCF-VND-02,Vendor Security Requirements and Contracts,"The organization includes security and privacy requirements in vendor contracts including data protection obligations, incident notification requirements, audit rights, data return/destruction provisions, and compliance with applicable regulations. Contracts are reviewed by legal and security prior to execution.",Establish binding security obligations for vendors handling organizational data.,Administrative,At contract execution; renewal; upon material scope change,CC9.2,A.5.19; A.5.20,CLD.6.3,A.15.1.2,GV.SC-05,SA-4; SA-9,12.8.2; 12.8.5,§164.308(b)(1); §164.314(a)(2),Art. 28(3); Art. 28(9),§1798.140(w)
VND,Vendor and Third-Party Management,CCF-VND-03,Vendor Monitoring and Oversight,"The organization monitors vendor compliance with security requirements on an ongoing basis. Monitoring includes review of vendor certifications and audit reports (e.g., SOC 2), tracking of vendor security incidents, and periodic reassessment of vendor risk ratings.",Ensure vendors maintain required security standards throughout the relationship.,Operational,Annual vendor review; continuous for critical incidents; quarterly for tier-1 vendors,CC9.2; CC4.1,A.5.22,15.2.1,,GV.SC-09; GV.SC-10,SA-9(2); CA-7,12.8.4,§164.308(b)(1),Art. 28(3)(h),
VND,Vendor and Third-Party Management,CCF-VND-04,Subprocessor Management,The organization maintains visibility into and control over vendor subprocessors (fourth parties) that may access organizational data. Vendors are required to notify the organization of new subprocessors and ensure subprocessors meet equivalent security standards. A current subprocessor list is maintained and accessible to customers.,Extend security and privacy oversight to downstream service providers.,Administrative,Continuous notification; annual subprocessor review,CC9.2,A.5.19; A.5.21,CLD.6.3,A.15.1.3,GV.SC-07,SA-9; SR-6,12.8.5,§164.314(a)(2)(i),Art. 28(2); Art. 28(4),§1798.140(w)
PRI,Privacy,CCF-PRI-01,Privacy Policy and Notice,"The organization maintains a public-facing privacy policy/notice that clearly communicates how personal data is collected, used, shared, and retained. The notice covers data categories, purposes of processing, third-party sharing, individual rights, and contact information. The notice is reviewed at least annually and updated to reflect changes in practices.",Provide transparent disclosure of personal data practices to data subjects.,Administrative,Annual review; update upon material practice change,P1.1; P1.2,,,A.2.1,GV.PO-01,PT-3; PT-5,,§164.520,Art. 12; Art. 13; Art. 14,§1798.100(a); §1798.110(a); §1798.130
PRI,Privacy,CCF-PRI-02,Data Processing Inventory (RoPA),"The organization maintains a record of processing activities (RoPA) that documents all personal data processing operations, including data categories, purposes, legal bases, recipients, transfer mechanisms, and retention periods. The inventory is maintained current and available for regulatory review.",Maintain a comprehensive and current inventory of personal data processing activities.,Administrative,Continuous maintenance; quarterly review; update upon new processing activities,P1.1,A.5.9,,A.2.5,ID.AM-05,PT-3; PM-25,,,Art. 30,§1798.100(a)
PRI,Privacy,CCF-PRI-03,Consent Management,"The organization obtains and manages consent for personal data processing where consent is the applicable legal basis. Consent is freely given, specific, informed, and unambiguous. Mechanisms are in place to record consent, honor withdrawal of consent, and adjust processing accordingly.",Ensure lawful consent-based processing and respect individual consent preferences.,Operational,Per data collection event; continuous consent record maintenance,P2.1,,,A.2.1,,PT-4,,§164.508,Art. 6(1)(a); Art. 7,§1798.120; §1798.135
PRI,Privacy,CCF-PRI-04,Data Subject Rights Management,"The organization implements processes and mechanisms to receive, verify, and respond to data subject rights requests including access, rectification, deletion, portability, restriction, and objection. Requests are fulfilled within legally required timeframes.",Enable individuals to exercise their privacy rights effectively and within legal timeframes.,Operational,Per request; fulfillment within 30 days (GDPR) or 45 days (CCPA),P4.1; P4.2; P4.3,,,A.1.1; A.2.2,,IP-1; IP-2; IP-3; IP-4,,§164.524; §164.526; §164.528,Art. 15; Art. 16; Art. 17; Art. 18; Art. 20; Art. 21,§1798.100; §1798.105; §1798.110; §1798.115
PRI,Privacy,CCF-PRI-05,Data Minimization and Purpose Limitation,"The organization limits the collection and processing of personal data to what is necessary and proportionate for the specified, legitimate purposes. Data is not repurposed beyond original collection purposes without additional legal basis or consent. Processing activities are regularly reviewed to identify and eliminate unnecessary data collection.",Reduce privacy risk by limiting data collection and use to what is necessary.,Administrative,At system design; annual review of data collection practices,P3.1; P3.2,,,A.2.1; A.2.5,,PT-2; PT-3,3.1,§164.502(b); §164.514,Art. 5(1)(b); Art. 5(1)(c),§1798.100(c)
PRI,Privacy,CCF-PRI-06,Data Retention and Disposal,"The organization defines and enforces data retention schedules that specify how long personal data and other sensitive data is retained and when it must be securely disposed. Retention periods are based on legal requirements, contractual obligations, and business necessity. Disposal is performed using methods appropriate to the data sensitivity.",Ensure personal data is not retained beyond its useful or legally required period.,Operational,Continuous enforcement; annual retention schedule review,P5.1; P5.2; C1.2,A.8.10,,A.9.4.2,,SI-12; MP-6,3.2.1; 9.4.5; 9.4.6,§164.530(j),Art. 5(1)(e); Art. 17,§1798.105
PRI,Privacy,CCF-PRI-07,Privacy Impact Assessments (DPIA),"The organization conducts data protection impact assessments (DPIAs) or privacy impact assessments (PIAs) for new or significantly changed processing activities that present high risk to individuals. Assessments evaluate necessity, proportionality, risks, and mitigating measures. Results inform processing decisions and are documented.",Identify and mitigate privacy risks before initiating high-risk data processing.,Administrative,Prior to new high-risk processing; upon significant change to existing processing,P1.1,,,A.11.3,GV.RM-01,PT-5; RA-8,,,Art. 35; Art. 36,§1798.185(a)(15)
PRI,Privacy,CCF-PRI-08,Cross-Border Data Transfers,"The organization implements appropriate safeguards for transfers of personal data to countries or jurisdictions that do not provide an adequate level of data protection. Transfer mechanisms include Standard Contractual Clauses (SCCs), Binding Corporate Rules (BCRs), or other approved mechanisms. Transfer impact assessments are performed as required.",Ensure lawful and secure transfer of personal data across jurisdictional boundaries.,Administrative,Per transfer mechanism; annual review of transfer safeguards,P6.1,,,A.11.1,,PT-6,,,Art. 44; Art. 45; Art. 46; Art. 49,
PRI,Privacy,CCF-PRI-09,Data Protection Officer / Privacy Function,"The organization designates a privacy function or Data Protection Officer (DPO) responsible for overseeing privacy compliance, advising on data protection matters, and serving as a point of contact for data subjects and regulatory authorities. The DPO/privacy function has appropriate authority, resources, and independence.",Ensure dedicated oversight and expertise for privacy compliance.,Administrative,Continuous; annual assessment of privacy function resources,P1.1,,,A.11.4,GV.RR-01,PM-18; PM-19,,§164.530(a)(1),Art. 37; Art. 38; Art. 39,
PRI,Privacy,CCF-PRI-10,Do Not Sell / Share Controls,The organization implements controls to honor 'do not sell or share my personal information' requests as required by applicable privacy regulations. Opt-out mechanisms are prominently displayed and technically enforced across all data processing systems and third-party integrations.,Ensure compliance with consumer opt-out rights regarding data sale and sharing.,Technical,Continuous enforcement; per opt-out request,P2.1,,,,,PT-4,,,Art. 21,§1798.120; §1798.135
DGV,Data Governance,CCF-DGV-01,Data Integrity Controls,"The organization implements controls to ensure the accuracy, completeness, and consistency of data during input, processing, and output. Data validation rules, checksums, and reconciliation processes are used to detect and prevent data corruption or unauthorized modification.",Ensure data remains accurate and unaltered throughout processing.,Technical,Continuous; per transaction/processing event,PI1.1; PI1.2; PI1.3,A.8.11,,,PR.DS-06,SI-7; SI-10,,§164.312(c)(1); §164.312(c)(2),Art. 5(1)(d),
DGV,Data Governance,CCF-DGV-02,Data Loss Prevention,"The organization implements data loss prevention (DLP) controls to detect and prevent unauthorized exfiltration of sensitive data. DLP controls cover email, web uploads, cloud storage, endpoint transfers, and API data flows. DLP policies are aligned with data classification levels.",Prevent unauthorized disclosure or exfiltration of sensitive data.,Technical,Continuous monitoring and enforcement,CC6.1; CC6.7; C1.1,A.8.10; A.8.11; A.8.12,,,PR.DS-01; PR.DS-02,SC-7; SI-4,,§164.312(e)(1),Art. 32(1),§1798.150(a)
DGV,Data Governance,CCF-DGV-03,Data Masking and Anonymization,"The organization implements data masking, anonymization, or pseudonymization techniques for sensitive data used in non-production environments, analytics, testing, and reporting. Techniques are validated to ensure data cannot be re-identified without additional information kept separately.",Reduce exposure of sensitive data in contexts where full data is not required.,Technical,Per data provisioning event; annual technique review,C1.1; CC6.1,A.8.11,,A.10.1,PR.DS-01,SI-19,3.4; 3.4.1,§164.514,Art. 25(1); Rec. 26,§1798.145(a)(5)
CMP,Compliance and Audit,CCF-CMP-01,Internal Audit Program,"The organization maintains an internal audit program that independently assesses the design and operating effectiveness of security controls. Internal audits are conducted on a risk-based schedule, cover key control areas, and result in findings and recommendations tracked to remediation.",Provide independent assurance of control effectiveness and identify improvement areas.,Administrative,Annual audit plan; audits per schedule; continuous monitoring where automated,CC4.1; CC4.2,A.5.35; A.5.36,,,GV.OV-02,CA-2; CA-7,12.4.2,§164.308(a)(8),Art. 5(2),
CMP,Compliance and Audit,CCF-CMP-02,External Audit and Certification Management,"The organization manages external audits and certifications (e.g., SOC 2, ISO 27001, PCI DSS) through structured audit preparation, evidence collection, auditor coordination, and findings remediation. Audit reports and certifications are maintained current and provided to customers and stakeholders as appropriate.",Obtain and maintain external assurance of the security program through independent audits.,Administrative,Annual (per certification cycle); continuous evidence readiness,CC4.1,A.5.35,,,GV.OV-02,CA-2; CA-6,12.4.1,§164.308(a)(8),Art. 42,
CMP,Compliance and Audit,CCF-CMP-03,Control Exception and Remediation Management,"The organization maintains a formal process for managing control exceptions, audit findings, and remediation activities. Exceptions require documented business justification, compensating controls, risk acceptance, and time-bound expiration. Remediation is tracked, assigned owners, and reported to leadership.","Ensure control gaps are formally managed, tracked, and resolved.",Administrative,Per occurrence; monthly remediation tracking; quarterly leadership reporting,CC4.2; CC5.3,A.5.35; A.5.36,,,GV.OV-03,CA-5; PM-4,12.4.2.1,§164.308(a)(1)(ii)(B),,
CMP,Compliance and Audit,CCF-CMP-04,Continuous Control Monitoring,"The organization implements automated monitoring to continuously assess control effectiveness, detect deviations, and generate evidence. Monitoring covers key technical controls such as access configurations, encryption status, logging coverage, and vulnerability management. Dashboard and metrics provide real-time visibility into compliance posture.",Move from point-in-time audit evidence to continuous assurance of control effectiveness.,Technical,Continuous; dashboard updated in real-time; monthly posture review,CC4.1; CC4.2,A.5.36,,,GV.OV-01; DE.CM-01,CA-7; PM-31,10.7; 12.4.2,§164.308(a)(8),Art. 32(1)(d),
EDP,Endpoint Security,CCF-EDP-01,Endpoint Protection and Management,"The organization deploys mobile device management (MDM) or unified endpoint management (UEM) on all corporate endpoints. Managed endpoints enforce security configurations including disk encryption, screen lock, OS auto-update, and firewall enablement. Unmanaged endpoints are restricted from accessing sensitive corporate resources.",Ensure all endpoints meet minimum security requirements before accessing corporate data.,Technical,Continuous enforcement; monthly compliance reporting,CC6.1; CC6.8,A.8.1,,,PR.IR-01,CM-6; SC-28,5.2; 9.5,§164.310(c); §164.312(a)(1),Art. 32(1),
EDP,Endpoint Security,CCF-EDP-02,Endpoint Data Encryption,All organizational endpoints enforce full-disk encryption using approved algorithms. Encryption keys are managed through the endpoint management platform. Encryption status is verified and non-compliant devices are flagged or blocked from corporate access.,Protect data on endpoint devices from unauthorized access in the event of loss or theft.,Technical,Continuous enforcement; automated compliance checking,CC6.1; CC6.7,A.8.24,,,PR.DS-01,SC-28,3.5.1,§164.312(a)(2)(iv),Art. 32(1)(a),
EDP,Endpoint Security,CCF-EDP-03,Mobile Device Security,"The organization implements security controls for mobile devices used to access corporate data including enrollment in MDM, enforcement of device passcode, remote wipe capability, and containerization of corporate data. BYOD policies are defined and enforced where applicable.",Secure mobile access to corporate data while supporting workforce flexibility.,Technical,Continuous; annual BYOD policy review,CC6.1,A.8.1,,,PR.AA-03,AC-19,,§164.310(c); §164.312(d),Art. 32(1),
